skill,ai_job_count,overall_job_count,share_in_ai_jobs,share_in_all_jobs,lift
Kommunikasjon,1,174,0.011494252873563218,0.0174,0.6605892456070815
Konseptutvikling,1,12,0.011494252873563218,0.0012,9.578544061302683
Konsulent,5,108,0.05747126436781609,0.0108,5.321413367390378
Kontor,6,808,0.06896551724137931,0.0808,0.8535336292249915
Korrosjon,1,2,0.011494252873563218,0.0002,57.47126436781609
Kraftsystemanalyse,1,1,0.011494252873563218,0.0001,114.94252873563218
Kryptoforsering,1,1,0.011494252873563218,0.0001,114.94252873563218
Kryptografi,1,2,0.011494252873563218,0.0002,57.47126436781609
Kubernetes,1,17,0.011494252873563218,0.0017,6.76132521974307
Kundeansvarlig,1,30,0.011494252873563218,0.003,3.8314176245210727
Kundebehandling,1,402,0.011494252873563218,0.0402,0.285926688397095
Kundeportefølje,1,27,0.011494252873563218,0.0027,4.257130693912303
Kunderelasjoner,1,13,0.011494252873563218,0.0013,8.841732979664014
Kunderådgiver,1,36,0.011494252873563218,0.0036,3.1928480204342273
Kundeservice,2,1396,0.022988505747126436,0.1396,0.16467410993643578
Kunstig intelligens,21,41,0.2413793103448276,0.0041,58.873002523128676
Kvantemekanikk,1,1,0.011494252873563218,0.0001,114.94252873563218
Kybernetikk,1,15,0.011494252873563218,0.0015,7.662835249042145
Laboratorium,1,91,0.011494252873563218,0.0091,1.2631047113805733
Leder,2,895,0.022988505747126436,0.0895,0.2568548128170552
Logistikk,1,321,0.011494252873563218,0.0321,0.3580764135066424
Løsningsarkitekt,1,14,0.011494252873563218,0.0014,8.210180623973727
ML Ops,1,1,0.011494252873563218,0.0001,114.94252873563218
MLOps,2,2,0.022988505747126436,0.0002,114.94252873563218
Management consulting,1,3,0.011494252873563218,0.0003,38.31417624521073
Maritim,2,115,0.022988505747126436,0.0115,1.999000499750125
Markedsføring,1,82,0.011494252873563218,0.0082,1.4017381553125874
Maskiningeniør,1,13,0.011494252873563218,0.0013,8.841732979664014
Maskinlæring,27,27,0.3103448275862069,0.0027,114.94252873563218
Matematikk,2,25,0.022988505747126436,0.0025,9.195402298850574
Materialteknologi,1,13,0.011494252873563218,0.0013,8.841732979664014
Merkevare,1,6,0.011494252873563218,0.0006,19.157088122605366
Microsoft Azure,1,2,0.011494252873563218,0.0002,57.47126436781609
Middle office,1,1,0.011494252873563218,0.0001,114.94252873563218
Mikropaleontologi,1,1,0.011494252873563218,0.0001,114.94252873563218
Montasje,1,18,0.011494252873563218,0.0018,6.385696040868455
Nannofossil,1,1,0.011494252873563218,0.0001,114.94252873563218
Nettsidedesign,1,1,0.011494252873563218,0.0001,114.94252873563218
Nettsider,1,5,0.011494252873563218,0.0005,22.988505747126435
Numerisk modellering,1,3,0.011494252873563218,0.0003,38.31417624521073
Numerisk simulering,1,1,0.011494252873563218,0.0001,114.94252873563218
OT,1,2,0.011494252873563218,0.0002,57.47126436781609
Offentlig sektor,3,304,0.034482758620689655,0.0304,1.134301270417423
Offshore,7,100,0.08045977011494253,0.01,8.045977011494253
Olje og gass,7,70,0.08045977011494253,0.007,11.494252873563218
Optimalisering,1,8,0.011494252873563218,0.0008,14.367816091954023
Organisasjonsutvikling,1,82,0.011494252873563218,0.0082,1.4017381553125874
Overvåking,2,9,0.022988505747126436,0.0009,25.54278416347382
PLC,1,1,0.011494252873563218,0.0001,114.94252873563218
Palynologi,1,1,0.011494252873563218,0.0001,114.94252873563218
Personalledelse,1,16,0.011494252873563218,0.0016,7.183908045977011
Personvern,4,38,0.04597701149425287,0.0038,12.099213551119178
Personvernrådgiver,1,1,0.011494252873563218,0.0001,114.94252873563218
Petroleumsingeniør,1,3,0.011494252873563218,0.0003,38.31417624521073
PhD,6,40,0.06896551724137931,0.004,17.241379310344826
PhD-stipendiat,1,2,0.011494252873563218,0.0002,57.47126436781609
Portefølje,1,2,0.011494252873563218,0.0002,57.47126436781609
Porteføljeforvaltning,1,12,0.011494252873563218,0.0012,9.578544061302683
Porteføljestyring,1,10,0.011494252873563218,0.001,11.494252873563218
Postdoktor,3,18,0.034482758620689655,0.0018,19.157088122605366
Power BI,3,23,0.034482758620689655,0.0023,14.992503748125937
Produksjon,1,268,0.011494252873563218,0.0268,0.42889003259564246
Produksjonskjemi,1,1,0.011494252873563218,0.0001,114.94252873563218
Produksjonssetting,1,1,0.011494252873563218,0.0001,114.94252873563218
Produksjonsutvikler,1,2,0.011494252873563218,0.0002,57.47126436781609
Produkteier,1,9,0.011494252873563218,0.0009,12.77139208173691
Produktleder,1,20,0.011494252873563218,0.002,5.747126436781609
Produktutvikling,5,79,0.05747126436781609,0.0079,7.274843590862796
Prognoser,1,3,0.011494252873563218,0.0003,38.31417624521073
Programmerer,4,40,0.04597701149425287,0.004,11.494252873563218
Programmering,13,59,0.14942528735632185,0.0059,25.32631989090201
Programvarearkitekt,1,2,0.011494252873563218,0.0002,57.47126436781609
Programvareutvikling,5,18,0.05747126436781609,0.0018,31.928480204342275
Prosessforbedring,2,46,0.022988505747126436,0.0046,4.997501249375312
Prosessindustri,2,39,0.022988505747126436,0.0039,5.894488653109343
Prosessingeniør,1,17,0.011494252873563218,0.0017,6.76132521974307
Prosesskontroll,1,1,0.011494252873563218,0.0001,114.94252873563218
